Order_Date,Region,Product_ID,Category,Sub_Category,Sales,Profit,Inventory_Days
2021-08-12,North,P00046,Groceries,Vegetables,380.79,175.38,107
2023-06-11,West,P00329,Groceries,Vegetables,781.89,138.77,122
2020-09-27,East,P00478,Groceries,Fruits,164.43,-41.69,88
2022-02-15,West,P00838,Toys,Action Figures,340.37,-63.21,131
2020-10-04,North,P00797,Furniture,Chairs,30.38,14.46,294
2022-05-08,East,P00348,Furniture,Beds,10.77,5.32,161
2020-03-24,0,P00078,Clothing,Shirts,311.2,37.28,236
2022-06-18,West,P00639,Groceries,Beverages,32.83,3.93,170
2021-11-19,West,P00885,Toys,Board Games,56.2,26.92,271
2021-11-05,East,P00541,Electronics,Phones,461.51,151.44,51
2022-11-30,East,P00825,Clothing,Shirts,388.64,189.11,131
2020-02-05,North,P00151,Clothing,Pants,861.34,210.38,329
2024-01-05,South,P00514,Toys,Puzzles,74.4,34.16,316
2020-08-14,West,P00288,Electronics,Laptops,567.66,4.73,346
2023-04-14,North,P00466,Clothing,Shirts,106.7,26.4,264
2021-05-11,South,P00917,Groceries,Vegetables,44.04,18.83,50
2021-09-10,East,P00319,Furniture,Tables,665.9,-33.72,54
2021-08-10,East,P00636,Groceries,Fruits,551.24,-83.85,191
2020-04-05,North,P00643,Toys,Action Figures,843.86,50.47,202
2022-07-19,North,P00667,Furniture,Beds,895.88,159.75,304
2023-07-28,South,P00607,Clothing,Shoes,333.28,52.11,252
2023-10-21,South,P00866,Clothing,Shoes,54.78,-2.18,208
2022-03-27,West,P00721,Electronics,Laptops,749.85,98.8,280
2021-05-15,South,P00071,Groceries,Vegetables,363.19,-27.33,41
2023-08-28,East,P00574,Electronics,Accessories,303.31,-50.89,345
2020-05-02,West,P00061,Clothing,Shoes,987.02,313.67,136
2021-07-12,North,P00987,Clothing,Shoes,15.47,5.45,81
2022-05-07,East,P00436,Furniture,Beds,714.23,237.22,261
2020-11-23,East,P00169,Furniture,Chairs,927.04,204.75,28
2020-04-27,South,P00895,Electronics,Laptops,864.47,171.72,33
2021-03-31,South,P00566,Clothing,Shoes,72.92,-3.73,216
2022-10-08,East,P00358,Toys,Puzzles,669.26,115.81,214
2022-11-28,East,P00070,Groceries,Fruits,888.34,69.09,101
2022-12-12,South,P00609,Clothing,Shoes,971.99,368.51,5
2022-06-02,North,P00925,Furniture,Tables,565.66,179.19,359
2023-06-30,0,P00582,Electronics,Laptops,50.03,13.43,346
2021-08-01,East,P00232,Electronics,Laptops,35.16,-7.51,63
2020-11-25,East,P00076,Furniture,Tables,896.81,72.01,96
2023-09-18,North,P00807,Toys,Puzzles,698.56,-131.7,231
2022-07-22,West,P00599,Furniture,Beds,416.28,126.73,36
2023-08-30,East,P00258,Groceries,Fruits,943.43,168.96,243
2020-11-30,South,P00555,Clothing,Shirts,169.61,75.27,45
2021-02-11,East,P00078,Toys,Action Figures,0,-65.26,284
2023-04-25,North,P00320,Furniture,Chairs,805.64,-121.45,286
2020-01-22,North,P00315,Clothing,Shirts,884.45,-35.84,348
2023-02-20,South,P00162,Toys,Board Games,0,154.33,283
2020-03-13,West,P00249,Groceries,Fruits,432.84,0,233
2021-03-26,South,P00789,Furniture,Beds,311.73,-52.46,137
2024-01-25,West,P00883,Furniture,Chairs,489.98,124.43,234
2023-05-12,West,P00562,Groceries,Vegetables,344.24,156.4,160
2022-08-20,South,P00807,Electronics,Laptops,523.6,137.4,113
2023-10-05,North,P00786,Furniture,Chairs,74.24,-7.19,268
2023-11-29,East,P00472,Clothing,Shirts,259.26,0,113
2021-09-14,East,P00048,Groceries,Beverages,156.61,78.02,187
2021-05-02,South,P00820,Furniture,Beds,613.47,62.66,54
2021-10-04,West,P00122,Electronics,Accessories,42.72,-1.02,126
2020-04-05,East,P00916,Toys,Action Figures,153.45,0,160
2021-05-10,North,P00976,Furniture,Tables,557.36,97.07,0
2021-01-21,East,P00543,Clothing,Pants,375.96,-39.95,294
2023-09-08,South,P00416,Clothing,Pants,374.11,77.01,198
2022-06-10,West,P00574,Electronics,Laptops,404.84,142.97,144
2023-06-28,East,P00192,Groceries,Beverages,836.95,-36.3,326
2023-08-12,South,P00231,Clothing,Shoes,698.85,270.24,252
2022-07-29,East,P00748,Electronics,Accessories,680.79,-195.2,147
2022-12-01,South,P00570,Groceries,Fruits,355.18,-79.23,128
2022-08-13,North,P00132,Electronics,Phones,522.57,193.44,267
2021-12-31,West,P00496,Clothing,Shoes,347.66,-72.74,151
2021-05-13,North,P00864,Groceries,Fruits,546.03,140.13,263
2020-09-11,South,P00333,Toys,Action Figures,663.38,234.69,60
2022-07-01,West,P00173,Clothing,Shirts,268.22,133.31,254
2022-08-22,East,P00800,Groceries,Fruits,898.24,377.56,9
2023-09-08,East,P00551,Clothing,Shirts,286.08,74.46,208
2023-02-14,East,P00347,Electronics,Laptops,898.14,367.94,120
2023-06-02,South,P00534,Electronics,Laptops,888.89,338.44,113
2020-11-12,North,P00760,Clothing,Pants,170.01,71.21,340
2020-01-30,South,P00850,Clothing,Shoes,584.88,-1.27,99
2022-09-30,North,P00934,Clothing,Pants,973.93,-70.96,0
2023-08-16,North,P00381,Furniture,Beds,490.76,28.83,169
2020-07-04,East,P00365,Furniture,Tables,184.17,-52.59,277
2023-12-13,North,P00501,Electronics,Laptops,187.03,-1.28,135
2021-03-11,South,P00914,Toys,Action Figures,723.73,-38.76,176
2020-01-23,North,P00737,Toys,Puzzles,102.74,-0.6,0
2020-12-18,West,P00883,Furniture,Chairs,251.55,120.34,51
2020-12-17,South,P00217,Furniture,Chairs,893.13,183.01,226
2020-04-20,South,P00015,Clothing,Pants,356.58,77.05,317
2022-03-12,South,P00133,Clothing,Shirts,504.2,79.46,192
2020-02-08,West,P00945,Furniture,Tables,649.02,-102.75,220
2022-02-02,North,P00105,Groceries,Beverages,475.25,-36.29,6
2023-10-24,North,P00944,Electronics,Accessories,376.46,-108.28,280
2020-12-14,East,P00188,Groceries,Fruits,337.44,47.99,95
2023-06-09,West,P00007,Furniture,Beds,963.98,368.63,191
2021-12-15,South,P00711,Electronics,Accessories,312.64,-46.04,161
2020-04-05,North,P00201,Toys,Action Figures,323.75,-53.23,281
2021-10-07,South,P00725,Electronics,Laptops,400.74,150.43,323
2021-09-22,North,P00742,Toys,Board Games,574.36,-127.66,288
2022-04-29,East,P00828,Furniture,Chairs,674.43,-8.82,127
2020-02-12,West,P00952,Toys,Puzzles,523.15,210.25,273
2021-04-24,North,P00689,Electronics,Accessories,850.18,-162.13,246
2020-11-19,North,P00533,Furniture,Chairs,365.9,-23.83,247
2022-03-08,East,P00986,Electronics,Phones,425.58,-40.44,13
2021-02-10,East,P00096,Furniture,Tables,90.78,-26.86,36
2021-10-08,East,P00663,Clothing,Shirts,800.31,176.05,142
2020-12-23,North,P00234,Toys,Puzzles,891.11,-26.38,92
2020-09-13,South,P00506,Toys,Action Figures,583.08,29.61,0
2022-06-06,West,P00423,Groceries,Vegetables,334.87,-58.93,190
2023-10-14,West,P00192,Toys,Puzzles,293.68,50.71,342
2022-04-24,East,P00488,Toys,Board Games,257.75,-69.32,271
2021-01-17,South,P00109,Clothing,Shoes,366.59,-72.71,264
2020-08-09,North,P00193,Electronics,Accessories,772.29,-98.35,5
2020-11-27,West,P00651,Clothing,Shoes,462.69,172.87,350
2023-11-26,South,P00851,Clothing,Pants,545.23,114.47,308
2021-03-14,North,P00051,Furniture,Chairs,141.42,67.26,106
2023-11-04,East,P00629,Clothing,Shirts,329.73,110.84,319
2021-08-01,South,P00756,Clothing,Shoes,439.19,129.66,346
2022-12-31,East,P00860,Toys,Action Figures,35.1,16.5,279
2022-07-10,East,P00718,Electronics,Phones,434.03,108.85,129
2020-05-30,East,P00484,Electronics,Laptops,181.56,-31.75,290
2022-02-06,West,P00951,Toys,Puzzles,247.39,-55.64,89
2021-04-10,West,P00458,Groceries,Fruits,663.6,-50.47,272
2023-02-26,North,P00736,Clothing,Shirts,521.53,117.7,69
2023-04-13,South,P00180,Electronics,Laptops,615.6,21.96,76
2023-05-23,South,P00069,Groceries,Beverages,570.38,-98.72,86
2021-06-07,North,P00428,Clothing,Shoes,24.25,-5.02,69
2021-02-09,North,P00888,Clothing,Pants,103.22,-5.25,204
2022-09-15,North,P00007,Groceries,Vegetables,26.99,8.39,341
2023-06-03,North,P00913,Groceries,Beverages,478.74,-77.29,222
2023-06-23,South,P00540,Groceries,Beverages,653.28,-170.87,246
2023-02-22,South,P00913,Electronics,Phones,638.74,-168.47,223
2022-01-07,South,P00113,Clothing,Shirts,25.15,11.24,96
2022-03-02,East,P00509,Toys,Board Games,857.92,194.71,4
2023-03-04,East,P00578,Electronics,Phones,619.69,282.03,258
2023-04-20,West,P00364,Electronics,Accessories,36.25,6.11,340
2020-04-23,East,P00327,Clothing,Shoes,579.72,6.11,33
2023-12-12,East,P00231,Electronics,Laptops,463.67,63.29,101
2022-05-31,East,P00650,Clothing,Shoes,629.68,224.38,168
2023-05-01,North,P00633,Toys,Action Figures,906.3,-129.93,12
2021-08-28,South,P00357,Furniture,Beds,109.77,-31.33,242
2021-02-15,South,P00802,Furniture,Tables,686.18,-166.78,264
2020-08-23,West,P00738,Groceries,Beverages,391.54,96.04,115
2021-12-14,South,P00074,Groceries,Beverages,289.04,-59.39,114
2020-04-26,West,P00186,Furniture,Tables,632.65,254.31,217
2022-08-09,South,P00045,Electronics,Laptops,805.45,-59.9,357
2022-12-11,West,P00814,Electronics,Phones,753.11,260.18,177
2022-02-03,East,P00795,Groceries,Fruits,734.33,-145.29,96
2021-09-09,North,P00140,Clothing,Pants,347.4,154.46,37
2020-02-06,East,P00694,Groceries,Vegetables,246.21,60.04,279
2020-12-04,North,P00748,Electronics,Accessories,757,-164.65,273
2022-06-21,North,P00938,Furniture,Tables,538.98,52.42,217
2023-05-25,North,P00231,Clothing,Shirts,326.85,136.11,177
2022-09-04,South,P00136,Toys,Action Figures,62.95,29.39,76
2020-02-15,South,P00760,Toys,Puzzles,361.36,168.19,223
2023-06-30,South,P00666,Electronics,Laptops,951.1,150.99,144
2023-08-28,North,P00718,Electronics,Phones,453.96,-29.7,25
2022-01-25,South,P00684,Furniture,Beds,558.17,-72.46,53
2021-07-01,West,P00433,Groceries,Beverages,793.66,263.25,109
2022-07-01,West,P00284,Clothing,Shoes,931.62,446.62,223
2023-12-17,West,P00954,Clothing,Shirts,65.31,18.92,221
2022-07-17,South,P00484,Clothing,Pants,357.41,-73.75,76
2023-07-03,North,P00582,Toys,Puzzles,691.15,255.43,253
